Date,EURUSD25R1M BGN Curncy  (R1),USDJPY25R1M BGN Curncy  (R2),EURJPY25R1M BGN Curncy  (L1)
46042,0.48249999999999998,-0.76500000000000001,-0.61
46041,7.2499999999999995E-2,-0.76749999999999996,-0.72499999999999998
46038,-5.5E-2,-0.63749999999999996,-0.68
46037,-1.2500000000000001E-2,-0.57999999999999996,-0.58499999999999996
46036,4.4999999999999998E-2,-0.56000000000000005,-0.52500000000000002
46035,5.2499999999999998E-2,-0.48749999999999999,-0.46
46034,5.2499999999999998E-2,-0.57750000000000001,-0.505
46031,2.75E-2,-0.48749999999999999,-0.495
46030,0.08,-0.70499999999999996,-0.64749999999999996
46029,0.20749999999999999,-0.72499999999999998,-0.63500000000000001
46028,0.2475,-0.73499999999999999,-0.59499999999999997
46027,0.27750000000000002,-0.79249999999999998,-0.65
46024,0.3775,-0.81499999999999995,-0.69
46023,0.43,-0.79,-0.66749999999999998
46022,0.42,-0.8,-0.67
46021,0.44500000000000001,-0.8075,-0.67500000000000004
46020,0.46750000000000003,-0.75749999999999995,-0.64500000000000002
46017,0.46750000000000003,-0.74750000000000005,-0.64249999999999996
46016,0.47,-0.77249999999999996,-0.65
46015,0.46250000000000002,-0.77249999999999996,-0.65
46014,0.4425,-0.72750000000000004,-0.60499999999999998
46013,0.39,-0.62250000000000005,-0.5
46010,0.33250000000000002,-0.53749999999999998,-0.4425
46009,0.39750000000000002,-0.51249999999999996,-0.40500000000000003
46008,0.39250000000000002,-0.50249999999999995,-0.39250000000000002
46007,0.46,-0.51,-0.40250000000000002
46006,0.47249999999999998,-0.56499999999999995,-0.47
46003,0.4325,-0.5625,-0.47249999999999998
46002,0.47249999999999998,-0.58750000000000002,-0.5
46001,0.27250000000000002,-0.59250000000000003,-0.54249999999999998
46000,0.2525,-0.6,-0.52249999999999996
45999,0.26,-0.63749999999999996,-0.57499999999999996
45996,0.26500000000000001,-0.64249999999999996,-0.59750000000000003
45995,0.3,-0.65500000000000003,-0.57999999999999996
45994,0.28749999999999998,-0.62,-0.54749999999999999
45993,0.19,-0.60250000000000004,-0.54249999999999998
45992,0.2,-0.70499999999999996,-0.67249999999999999
45989,0.17499999999999999,-0.66,-0.62250000000000005
45988,0.18,-0.57999999999999996,-0.5575
45987,0.18,-0.50749999999999995,-0.47749999999999998
45986,0.1575,-0.52,-0.50749999999999995
45985,8.2500000000000004E-2,-0.51,-0.54249999999999998
45982,7.0000000000000007E-2,-0.65249999999999997,-0.63500000000000001
45981,0.09,-0.4425,-0.4325
45980,0.17249999999999999,-0.5625,-0.435
45979,0.21249999999999999,-0.79249999999999998,-0.68
45978,0.245,-0.81499999999999995,-0.68500000000000005
45975,0.30499999999999999,-0.88749999999999996,-0.78
45974,0.33750000000000002,-0.76,-0.63500000000000001
45973,0.21249999999999999,-0.71750000000000003,-0.55000000000000004
45972,0.2175,-0.9,-0.69499999999999995
45971,0.17499999999999999,-0.88,-0.67
45968,0.11,-1.0825,-0.88500000000000001
45967,-7.2499999999999995E-2,-0.97499999999999998,-0.95499999999999996
45966,-0.1925,-0.88,-0.92
